epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1072.78,1.59863,0.69319,2.18713,0.94704,0.90198,0.95407,0.63987,2.48978,0.88391,2.99227,0.00132868,0.00132868,0.00132868
43,1098.3,1.55379,0.69821,2.16408,0.97525,0.92392,0.95713,0.63805,2.47129,0.84454,3.02638,0.00132043,0.00132043,0.00132043
44,1123.81,1.558,0.67345,2.19467,0.97227,0.90847,0.95315,0.62544,2.47753,0.88575,3.01887,0.00131218,0.00131218,0.00131218
45,1149.23,1.59676,0.70354,2.20066,0.95198,0.9248,0.95657,0.60723,2.55176,0.91701,3.02371,0.00130393,0.00130393,0.00130393
46,1174.62,1.61503,0.70736,2.18451,0.96641,0.91851,0.95763,0.62044,2.50078,0.91736,3.01288,0.00129568,0.00129568,0.00129568
47,1200.13,1.56315,0.68192,2.1887,0.97346,0.90793,0.96357,0.6382,2.44932,0.85668,2.97273,0.00128742,0.00128742,0.00128742
48,1225.48,1.56956,0.68727,2.18118,0.96683,0.92189,0.96047,0.64849,2.50917,0.82732,3.00933,0.00127917,0.00127917,0.00127917
49,1250.79,1.53737,0.67444,2.14822,0.93286,0.92256,0.95767,0.63619,2.44762,0.88499,2.99894,0.00127092,0.00127092,0.00127092
50,1276.14,1.53542,0.66854,2.17178,0.96296,0.92821,0.95674,0.63696,2.47289,0.83083,3.00319,0.00126267,0.00126267,0.00126267
51,1301.42,1.51953,0.67039,2.15548,0.94058,0.92426,0.96028,0.63184,2.50837,0.85174,3.03393,0.00125442,0.00125442,0.00125442
52,1326.72,1.51111,0.66818,2.14353,0.96899,0.90066,0.95374,0.6399,2.54215,0.88788,3.0416,0.00124617,0.00124617,0.00124617
53,1352.22,1.50652,0.65595,2.16307,0.9772,0.8931,0.95729,0.6446,2.49398,0.8863,2.99165,0.00123791,0.00123791,0.00123791
54,1377.78,1.50574,0.63956,2.12306,0.95091,0.93635,0.96109,0.64539,2.46945,0.87371,3.02309,0.00122966,0.00122966,0.00122966
55,1403.27,1.48607,0.6443,2.12653,0.95933,0.92662,0.96123,0.65004,2.44709,0.83049,3.00163,0.00122141,0.00122141,0.00122141
56,1428.76,1.4989,0.65783,2.14234,0.96532,0.92588,0.95644,0.64339,2.49374,0.87915,3.04477,0.00121316,0.00121316,0.00121316
57,1454.26,1.46391,0.64059,2.10877,0.95912,0.92448,0.96185,0.65095,2.47002,0.85388,3.02787,0.00120491,0.00120491,0.00120491
58,1479.78,1.47513,0.64613,2.1288,0.97449,0.91382,0.96111,0.64315,2.51621,0.84166,3.08265,0.00119666,0.00119666,0.00119666
59,1505.28,1.47551,0.6334,2.13201,0.95269,0.90371,0.94339,0.62459,2.51978,0.83564,3.04506,0.0011884,0.0011884,0.0011884
60,1530.78,1.44403,0.62993,2.11549,0.97363,0.91632,0.96058,0.64434,2.48657,0.85276,3.0722,0.00118015,0.00118015,0.00118015
61,1556.26,1.45106,0.63145,2.11276,0.96395,0.92396,0.96266,0.65692,2.50011,0.84065,3.03913,0.0011719,0.0011719,0.0011719
62,1581.82,1.4539,0.6363,2.12565,0.96675,0.9094,0.95331,0.64754,2.51259,0.85401,3.04876,0.00116365,0.00116365,0.00116365
63,1607.35,1.42764,0.62322,2.08482,0.9415,0.93335,0.95728,0.63058,2.55553,0.88126,3.14252,0.0011554,0.0011554,0.0011554
64,1632.86,1.42482,0.61369,2.08654,0.95272,0.92083,0.95409,0.63948,2.51992,0.84867,3.10702,0.00114715,0.00114715,0.00114715
65,1658.38,1.4319,0.61871,2.08894,0.96784,0.91723,0.95988,0.63919,2.52879,0.83829,3.0866,0.00113889,0.00113889,0.00113889
66,1683.93,1.42917,0.60959,2.08462,0.95357,0.92205,0.96065,0.63564,2.49648,0.87098,3.07615,0.00113064,0.00113064,0.00113064
67,1709.4,1.41427,0.61304,2.07876,0.95147,0.92274,0.95769,0.64448,2.46343,0.8337,3.05285,0.00112239,0.00112239,0.00112239
68,1734.92,1.42232,0.61184,2.07439,0.97001,0.92578,0.96003,0.6511,2.48624,0.8363,3.01433,0.00111414,0.00111414,0.00111414
69,1760.49,1.37731,0.58909,2.05475,0.96779,0.93043,0.95877,0.64413,2.49441,0.82148,3.04747,0.00110589,0.00110589,0.00110589
70,1786.02,1.36636,0.58081,2.06853,0.9534,0.9264,0.9537,0.65353,2.45578,0.82732,3.02121,0.00109764,0.00109764,0.00109764
71,1811.54,1.37038,0.58478,2.05646,0.96016,0.9318,0.96053,0.66485,2.46158,0.81392,3.05148,0.00108938,0.00108938,0.00108938
72,1837.33,1.35873,0.58676,2.06811,0.9463,0.93634,0.95666,0.64903,2.48576,0.85502,3.07848,0.00108113,0.00108113,0.00108113
73,1862.84,1.36725,0.59579,2.06025,0.96065,0.92,0.95905,0.64795,2.46285,0.85148,3.04559,0.00107288,0.00107288,0.00107288
74,1888.31,1.37511,0.59393,2.06111,0.95255,0.93514,0.95777,0.65856,2.44503,0.83205,3.0392,0.00106463,0.00106463,0.00106463
