epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,741.669,1.69985,0.7609,2.25455,0.95668,0.92604,0.95373,0.60821,2.58072,0.87586,3.06687,0.00143595,0.00143595,0.00143595
30,766.979,1.70703,0.75125,2.27282,0.92328,0.90765,0.93147,0.5726,2.81216,1.08814,3.17696,0.0014277,0.0014277,0.0014277
31,792.227,1.68858,0.76352,2.24686,0.93603,0.90954,0.95389,0.6077,2.5221,0.96564,3.04399,0.00141945,0.00141945,0.00141945
32,817.667,1.64559,0.73348,2.2282,0.93933,0.92705,0.95432,0.61317,2.53262,0.90788,3.10032,0.0014112,0.0014112,0.0014112
33,843.153,1.65356,0.74582,2.23888,0.94144,0.91671,0.94686,0.62613,2.54843,0.90708,3.06131,0.00140295,0.00140295,0.00140295
34,868.657,1.65264,0.74075,2.21129,0.95876,0.90461,0.94949,0.6305,2.56366,0.90069,3.06244,0.0013947,0.0013947,0.0013947
35,894.163,1.69221,0.7578,2.26787,0.94254,0.91931,0.95397,0.63202,2.50055,0.8789,3.0508,0.00138644,0.00138644,0.00138644
36,919.654,1.64008,0.73621,2.22749,0.92889,0.91847,0.9505,0.62278,2.52699,0.91341,3.01702,0.00137819,0.00137819,0.00137819
37,945.129,1.67846,0.73829,2.26669,0.94712,0.94496,0.96169,0.61572,2.47777,0.84746,2.99156,0.00136994,0.00136994,0.00136994
38,970.512,1.598,0.71578,2.18026,0.94699,0.90667,0.94824,0.61568,2.51486,0.92337,3.10231,0.00136169,0.00136169,0.00136169
39,995.848,1.61742,0.726,2.18066,0.96628,0.89956,0.95825,0.63039,2.5344,0.90147,3.04106,0.00135344,0.00135344,0.00135344
40,1021.28,1.60545,0.70691,2.19779,0.95649,0.90255,0.95776,0.64769,2.47205,0.85724,2.99013,0.00134519,0.00134519,0.00134519
41,1046.78,1.57691,0.70424,2.18888,0.94432,0.92274,0.95473,0.63192,2.49476,0.90389,3.00521,0.00133693,0.00133693,0.00133693
42,1072.24,1.59863,0.69319,2.18713,0.94704,0.90198,0.95407,0.63987,2.48978,0.88391,2.99227,0.00132868,0.00132868,0.00132868
43,1097.69,1.55379,0.69821,2.16408,0.97525,0.92392,0.95713,0.63805,2.47129,0.84454,3.02638,0.00132043,0.00132043,0.00132043
44,1123.17,1.558,0.67345,2.19467,0.97227,0.90847,0.95315,0.62544,2.47753,0.88575,3.01887,0.00131218,0.00131218,0.00131218
45,1148.63,1.59676,0.70354,2.20066,0.95198,0.9248,0.95657,0.60723,2.55176,0.91701,3.02371,0.00130393,0.00130393,0.00130393
46,1174.08,1.61503,0.70736,2.18451,0.96641,0.91851,0.95763,0.62044,2.50078,0.91736,3.01288,0.00129568,0.00129568,0.00129568
47,1199.54,1.56315,0.68192,2.1887,0.97346,0.90793,0.96357,0.6382,2.44932,0.85668,2.97273,0.00128742,0.00128742,0.00128742
48,1225.01,1.56956,0.68727,2.18118,0.96683,0.92189,0.96047,0.64849,2.50917,0.82732,3.00933,0.00127917,0.00127917,0.00127917
49,1250.52,1.53737,0.67444,2.14822,0.93286,0.92256,0.95767,0.63619,2.44762,0.88499,2.99894,0.00127092,0.00127092,0.00127092
50,1276.01,1.53542,0.66854,2.17178,0.96296,0.92821,0.95674,0.63696,2.47289,0.83083,3.00319,0.00126267,0.00126267,0.00126267
51,1301.47,1.51953,0.67039,2.15548,0.94058,0.92426,0.96028,0.63184,2.50837,0.85174,3.03393,0.00125442,0.00125442,0.00125442
52,1326.95,1.51111,0.66818,2.14353,0.96899,0.90066,0.95374,0.6399,2.54215,0.88788,3.0416,0.00124617,0.00124617,0.00124617
53,1352.25,1.50652,0.65595,2.16307,0.9772,0.8931,0.95729,0.6446,2.49398,0.8863,2.99165,0.00123791,0.00123791,0.00123791
54,1377.68,1.50574,0.63956,2.12306,0.95091,0.93635,0.96109,0.64539,2.46945,0.87371,3.02309,0.00122966,0.00122966,0.00122966
55,1403.13,1.48607,0.6443,2.12653,0.95933,0.92662,0.96123,0.65004,2.44709,0.83049,3.00163,0.00122141,0.00122141,0.00122141
56,1428.62,1.4989,0.65783,2.14234,0.96532,0.92588,0.95644,0.64339,2.49374,0.87915,3.04477,0.00121316,0.00121316,0.00121316
57,1454.1,1.46391,0.64059,2.10877,0.95912,0.92448,0.96185,0.65095,2.47002,0.85388,3.02787,0.00120491,0.00120491,0.00120491
58,1479.57,1.47513,0.64613,2.1288,0.97449,0.91382,0.96111,0.64315,2.51621,0.84166,3.08265,0.00119666,0.00119666,0.00119666
59,1505.05,1.47551,0.6334,2.13201,0.95269,0.90371,0.94339,0.62459,2.51978,0.83564,3.04506,0.0011884,0.0011884,0.0011884
60,1530.53,1.44403,0.62993,2.11549,0.97363,0.91632,0.96058,0.64434,2.48657,0.85276,3.0722,0.00118015,0.00118015,0.00118015
61,1555.98,1.45106,0.63145,2.11276,0.96395,0.92396,0.96266,0.65692,2.50011,0.84065,3.03913,0.0011719,0.0011719,0.0011719
62,1581.43,1.4539,0.6363,2.12565,0.96675,0.9094,0.95331,0.64754,2.51259,0.85401,3.04876,0.00116365,0.00116365,0.00116365
63,1606.93,1.42764,0.62322,2.08482,0.9415,0.93335,0.95728,0.63058,2.55553,0.88126,3.14252,0.0011554,0.0011554,0.0011554
64,1632.42,1.42482,0.61369,2.08654,0.95272,0.92083,0.95409,0.63948,2.51992,0.84867,3.10702,0.00114715,0.00114715,0.00114715
65,1657.7,1.4319,0.61871,2.08894,0.96784,0.91723,0.95988,0.63919,2.52879,0.83829,3.0866,0.00113889,0.00113889,0.00113889
66,1682.94,1.42917,0.60959,2.08462,0.95357,0.92205,0.96065,0.63564,2.49648,0.87098,3.07615,0.00113064,0.00113064,0.00113064
67,1708.36,1.41427,0.61304,2.07876,0.95147,0.92274,0.95769,0.64448,2.46343,0.8337,3.05285,0.00112239,0.00112239,0.00112239
68,1733.85,1.42232,0.61184,2.07439,0.97001,0.92578,0.96003,0.6511,2.48624,0.8363,3.01433,0.00111414,0.00111414,0.00111414
69,1759.3,1.37731,0.58909,2.05475,0.96779,0.93043,0.95877,0.64413,2.49441,0.82148,3.04747,0.00110589,0.00110589,0.00110589
70,1784.63,1.36636,0.58081,2.06853,0.9534,0.9264,0.9537,0.65353,2.45578,0.82732,3.02121,0.00109764,0.00109764,0.00109764
71,1810.11,1.37038,0.58478,2.05646,0.96016,0.9318,0.96053,0.66485,2.46158,0.81392,3.05148,0.00108938,0.00108938,0.00108938
72,1835.61,1.35873,0.58676,2.06811,0.9463,0.93634,0.95666,0.64903,2.48576,0.85502,3.07848,0.00108113,0.00108113,0.00108113
73,1861.03,1.36725,0.59579,2.06025,0.96065,0.92,0.95905,0.64795,2.46285,0.85148,3.04559,0.00107288,0.00107288,0.00107288
74,1886.42,1.37511,0.59393,2.06111,0.95255,0.93514,0.95777,0.65856,2.44503,0.83205,3.0392,0.00106463,0.00106463,0.00106463
75,1911.82,1.34357,0.57872,2.04828,0.95618,0.93935,0.95688,0.66121,2.47171,0.82718,3.07178,0.00105638,0.00105638,0.00105638
76,1937.12,1.31257,0.55711,2.02499,0.95335,0.93929,0.95627,0.6457,2.49314,0.83313,3.07215,0.00104813,0.00104813,0.00104813
77,1962.53,1.32526,0.56967,2.01593,0.9708,0.92589,0.96357,0.65665,2.4311,0.84025,3.02121,0.00103987,0.00103987,0.00103987
78,1988.01,1.30759,0.5665,2.02863,0.9659,0.93354,0.96303,0.65828,2.49166,0.8585,3.08357,0.00103162,0.00103162,0.00103162
79,2013.49,1.32144,0.5745,2.03939,0.96639,0.92041,0.95567,0.6406,2.46062,0.86218,3.08071,0.00102337,0.00102337,0.00102337
80,2038.95,1.3157,0.5625,2.03244,0.95358,0.93633,0.96438,0.65412,2.51245,0.84669,3.1219,0.00101512,0.00101512,0.00101512
81,2064.41,1.30447,0.57009,2.04644,0.97084,0.92494,0.96023,0.62787,2.47705,0.90748,3.1229,0.00100687,0.00100687,0.00100687
82,2089.89,1.28673,0.55271,2.01667,0.97978,0.92253,0.96096,0.65116,2.50386,0.85194,3.12998,0.000998616,0.000998616,0.000998616
83,2115.38,1.27956,0.5511,2.00222,0.96534,0.94453,0.96617,0.65323,2.51146,0.81342,3.08726,0.000990365,0.000990365,0.000990365
84,2140.91,1.29748,0.54867,2.01363,0.96076,0.92839,0.95629,0.65567,2.49862,0.82932,3.04684,0.000982113,0.000982113,0.000982113
85,2166.4,1.277,0.55737,2.0132,0.97561,0.92289,0.96528,0.65677,2.47913,0.83007,3.11457,0.000973861,0.000973861,0.000973861
86,2191.75,1.28459,0.55507,2.01288,0.96212,0.92576,0.95994,0.63366,2.55512,0.85261,3.21107,0.00096561,0.00096561,0.00096561
87,2217.12,1.24782,0.54116,1.99219,0.9576,0.93366,0.96179,0.65135,2.52657,0.85297,3.11188,0.000957358,0.000957358,0.000957358
88,2242.49,1.26127,0.54584,2.01293,0.9502,0.92727,0.96364,0.65597,2.46296,0.84635,3.07222,0.000949106,0.000949106,0.000949106
89,2267.96,1.27394,0.53544,1.99895,0.96895,0.91691,0.95895,0.66052,2.46109,0.82532,3.08125,0.000940855,0.000940855,0.000940855
90,2293.39,1.2171,0.524,1.97013,0.96753,0.93694,0.96631,0.65355,2.46887,0.81127,3.11554,0.000932603,0.000932603,0.000932603
91,2318.8,1.24333,0.53361,2.00644,0.96992,0.9274,0.95718,0.64809,2.44535,0.82178,3.02328,0.000924352,0.000924352,0.000924352
92,2344.23,1.23151,0.53581,1.99856,0.9578,0.9366,0.95936,0.65133,2.46952,0.81966,3.09935,0.0009161,0.0009161,0.0009161
93,2369.6,1.20156,0.5155,1.99227,0.96118,0.92567,0.96249,0.65344,2.48104,0.82445,3.12161,0.000907848,0.000907848,0.000907848
94,2395.01,1.23111,0.52227,1.99173,0.95575,0.94283,0.96205,0.65954,2.48713,0.83843,3.14182,0.000899597,0.000899597,0.000899597
95,2420.26,1.23308,0.52839,1.98654,0.96916,0.92778,0.96748,0.64437,2.52073,0.86275,3.19614,0.000891345,0.000891345,0.000891345
96,2445.68,1.20266,0.52188,1.97597,0.97688,0.92632,0.96352,0.65623,2.47382,0.84477,3.0658,0.000883093,0.000883093,0.000883093
97,2471.11,1.19545,0.51593,1.98253,0.97386,0.93005,0.96533,0.65267,2.51581,0.86296,3.15078,0.000874842,0.000874842,0.000874842
98,2496.55,1.19162,0.52192,1.96497,0.96974,0.93112,0.96687,0.65725,2.51652,0.83098,3.22518,0.00086659,0.00086659,0.00086659
99,2521.97,1.17994,0.50828,1.95774,0.94499,0.92891,0.96249,0.65646,2.49895,0.85444,3.21327,0.000858338,0.000858338,0.000858338
100,2547.29,1.15299,0.49727,1.9489,0.96424,0.93318,0.96292,0.64804,2.49675,0.85175,3.19137,0.000850087,0.000850087,0.000850087
101,2572.48,1.16191,0.50892,1.95112,0.96055,0.93318,0.95961,0.64466,2.51156,0.85541,3.2034,0.000841835,0.000841835,0.000841835
102,2597.79,1.16478,0.50868,1.94013,0.97104,0.94263,0.96356,0.64225,2.55196,0.86001,3.228,0.000833583,0.000833583,0.000833583
103,2623.14,1.16064,0.50415,1.93433,0.9668,0.94011,0.96492,0.64624,2.5333,0.85998,3.1992,0.000825332,0.000825332,0.000825332
104,2648.37,1.13026,0.48178,1.92984,0.9593,0.94113,0.96297,0.6521,2.53051,0.86137,3.24765,0.00081708,0.00081708,0.00081708
105,2673.83,1.14629,0.49453,1.93699,0.96179,0.92975,0.96358,0.64941,2.52237,0.87904,3.24875,0.000808828,0.000808828,0.000808828
106,2699.26,1.1479,0.49125,1.95291,0.97414,0.92289,0.96536,0.65397,2.49147,0.85593,3.22218,0.000800577,0.000800577,0.000800577
107,2724.63,1.12397,0.48486,1.93465,0.97893,0.92068,0.96704,0.66466,2.50431,0.85339,3.18332,0.000792325,0.000792325,0.000792325
108,2750.06,1.10835,0.48324,1.91359,0.95102,0.93547,0.96581,0.64399,2.48846,0.82539,3.22314,0.000784073,0.000784073,0.000784073
109,2775.5,1.12184,0.47912,1.93032,0.97782,0.92628,0.96147,0.65815,2.50247,0.85157,3.15421,0.000775822,0.000775822,0.000775822
110,2800.94,1.08535,0.47266,1.91003,0.96561,0.92688,0.96281,0.66611,2.49126,0.88916,3.21405,0.00076757,0.00076757,0.00076757
111,2826.43,1.12394,0.48984,1.93703,0.96812,0.93591,0.96529,0.6594,2.54975,0.91377,3.29406,0.000759318,0.000759318,0.000759318
112,2851.84,1.09598,0.48073,1.93022,0.97197,0.93365,0.96339,0.66318,2.50919,0.85852,3.22978,0.000751067,0.000751067,0.000751067
113,2877.31,1.07978,0.4801,1.90978,0.97271,0.93293,0.96846,0.67407,2.47186,0.82379,3.26121,0.000742815,0.000742815,0.000742815
114,2902.77,1.07792,0.46606,1.90145,0.97036,0.92494,0.96113,0.66278,2.46065,0.83154,3.19792,0.000734564,0.000734564,0.000734564
115,2928.21,1.08165,0.47088,1.90666,0.96387,0.93044,0.96538,0.65884,2.49556,0.83684,3.25452,0.000726312,0.000726312,0.000726312
116,2953.57,1.07101,0.45702,1.88282,0.95288,0.92902,0.95999,0.65585,2.50617,0.90706,3.25397,0.00071806,0.00071806,0.00071806
117,2979.01,1.09538,0.47389,1.90302,0.97073,0.91665,0.9597,0.64631,2.52701,0.9155,3.26245,0.000709809,0.000709809,0.000709809
118,3004.47,1.09019,0.47641,1.9071,0.97171,0.91168,0.95963,0.66023,2.49514,0.88849,3.28173,0.000701557,0.000701557,0.000701557
119,3029.77,1.07223,0.46757,1.89642,0.96122,0.90272,0.95617,0.65788,2.51898,0.89688,3.30881,0.000693305,0.000693305,0.000693305
120,3055.2,1.04226,0.45726,1.89281,0.95559,0.94134,0.9616,0.65202,2.508,0.85863,3.2777,0.000685054,0.000685054,0.000685054
121,3080.51,1.0549,0.46784,1.8866,0.95848,0.9359,0.95925,0.64965,2.51684,0.8758,3.30734,0.000676802,0.000676802,0.000676802
122,3105.82,1.03619,0.46365,1.89039,0.96486,0.92497,0.96191,0.66584,2.47234,0.87422,3.27309,0.00066855,0.00066855,0.00066855
123,3131.24,0.99677,0.43397,1.85903,0.96475,0.94087,0.96195,0.66282,2.49982,0.86895,3.3097,0.000660299,0.000660299,0.000660299
124,3156.69,0.98448,0.43463,1.84862,0.96543,0.92906,0.96613,0.66635,2.50933,0.86548,3.25778,0.000652047,0.000652047,0.000652047
125,3182.13,0.98751,0.43079,1.8473,0.97386,0.9222,0.96448,0.66757,2.50118,0.90191,3.32883,0.000643795,0.000643795,0.000643795
126,3207.54,0.9932,0.43586,1.87651,0.98622,0.91937,0.96491,0.65804,2.52455,0.87368,3.34736,0.000635544,0.000635544,0.000635544
127,3232.96,1.0141,0.44845,1.88636,0.97228,0.9278,0.96017,0.65254,2.5364,0.89877,3.32635,0.000627292,0.000627292,0.000627292
128,3258.37,0.99868,0.44243,1.86981,0.96535,0.93157,0.96501,0.65727,2.49693,0.90844,3.31119,0.00061904,0.00061904,0.00061904
129,3283.61,0.99726,0.45126,1.87178,0.9572,0.93238,0.95406,0.64289,2.50559,0.92082,3.39706,0.000610789,0.000610789,0.000610789
130,3308.94,0.97312,0.42725,1.85585,0.96925,0.92676,0.9619,0.65933,2.53743,0.87238,3.41312,0.000602537,0.000602537,0.000602537
131,3334.39,0.97622,0.42228,1.85407,0.96236,0.93177,0.96422,0.65677,2.5113,0.86825,3.33228,0.000594286,0.000594286,0.000594286
132,3359.84,0.97209,0.43102,1.85474,0.97808,0.91743,0.96631,0.64759,2.5718,0.90697,3.44908,0.000586034,0.000586034,0.000586034
133,3385.31,0.95651,0.42491,1.8416,0.96026,0.92962,0.96047,0.64481,2.55988,0.89172,3.45881,0.000577782,0.000577782,0.000577782
134,3410.74,0.95809,0.42653,1.84817,0.96276,0.93043,0.96226,0.66318,2.5387,0.87261,3.45035,0.000569531,0.000569531,0.000569531
135,3436.01,0.97356,0.43224,1.85251,0.96147,0.92906,0.96199,0.65344,2.53269,0.89409,3.38473,0.000561279,0.000561279,0.000561279
136,3461.45,0.94281,0.41632,1.82897,0.9712,0.93001,0.96401,0.66459,2.5131,0.87228,3.3852,0.000553027,0.000553027,0.000553027
137,3486.72,0.9353,0.41606,1.83485,0.96673,0.93036,0.9632,0.66225,2.53243,0.88125,3.45103,0.000544776,0.000544776,0.000544776
138,3512.12,0.94641,0.41958,1.85497,0.97425,0.92906,0.96129,0.64942,2.54399,0.89284,3.43537,0.000536524,0.000536524,0.000536524
139,3537.4,0.93131,0.41076,1.8425,0.96693,0.9348,0.96407,0.65799,2.56542,0.89691,3.47105,0.000528272,0.000528272,0.000528272
140,3562.6,0.9031,0.4075,1.8152,0.97164,0.92803,0.96103,0.65247,2.52254,0.8737,3.43673,0.000520021,0.000520021,0.000520021
141,3587.92,0.91024,0.40632,1.80948,0.97026,0.9222,0.96484,0.66513,2.50674,0.85612,3.47558,0.000511769,0.000511769,0.000511769
142,3613.33,0.90081,0.39972,1.81902,0.98279,0.91931,0.96528,0.66279,2.49276,0.88008,3.40796,0.000503517,0.000503517,0.000503517
143,3638.74,0.90683,0.40121,1.82656,0.98018,0.92426,0.95883,0.66128,2.55579,0.88357,3.44155,0.000495266,0.000495266,0.000495266
144,3664.12,0.89483,0.39304,1.81755,0.97659,0.92128,0.96012,0.66202,2.54226,0.89329,3.49071,0.000487014,0.000487014,0.000487014
145,3689.55,0.88566,0.39968,1.80485,0.96948,0.927,0.95909,0.66143,2.55423,0.90614,3.51059,0.000478762,0.000478762,0.000478762
146,3714.98,0.86637,0.39837,1.79381,0.96677,0.92635,0.96602,0.66139,2.52437,0.90644,3.51063,0.000470511,0.000470511,0.000470511
147,3740.42,0.87002,0.38425,1.81238,0.97132,0.92991,0.96027,0.657,2.51946,0.92268,3.44636,0.000462259,0.000462259,0.000462259
148,3765.86,0.86447,0.39065,1.79682,0.95321,0.93441,0.96366,0.65982,2.50833,0.93676,3.54752,0.000454007,0.000454007,0.000454007
149,3791.3,0.86056,0.39385,1.78521,0.97338,0.92834,0.96608,0.65572,2.54964,0.89491,3.5756,0.000445756,0.000445756,0.000445756
150,3816.73,0.84084,0.3891,1.78807,0.96425,0.93687,0.9626,0.65776,2.54075,0.89689,3.53495,0.000437504,0.000437504,0.000437504
151,3842.05,0.84665,0.3869,1.79592,0.97314,0.92675,0.96399,0.66395,2.53711,0.88155,3.58136,0.000429253,0.000429253,0.000429253
152,3867.44,0.83496,0.38632,1.79707,0.97484,0.93326,0.95876,0.65658,2.52945,0.8783,3.54971,0.000421001,0.000421001,0.000421001
153,3892.89,0.85501,0.39069,1.79734,0.97352,0.9276,0.96368,0.65215,2.54125,0.87312,3.56877,0.000412749,0.000412749,0.000412749
154,3918.33,0.85006,0.38475,1.79003,0.96176,0.93474,0.96507,0.65374,2.53855,0.92092,3.58626,0.000404498,0.000404498,0.000404498
155,3943.78,0.85529,0.3896,1.79442,0.96841,0.93043,0.96393,0.65934,2.56311,0.91945,3.57906,0.000396246,0.000396246,0.000396246
156,3969.21,0.83122,0.38058,1.80251,0.96182,0.93455,0.96455,0.66042,2.52713,0.89029,3.59787,0.000387994,0.000387994,0.000387994
157,3994.6,0.83134,0.38274,1.78578,0.96664,0.9316,0.96389,0.66739,2.51273,0.89461,3.52213,0.000379743,0.000379743,0.000379743
158,4020.02,0.81366,0.37394,1.78805,0.97925,0.92632,0.96439,0.66042,2.54094,0.90736,3.6099,0.000371491,0.000371491,0.000371491
159,4045.42,0.79902,0.36899,1.77039,0.96883,0.92613,0.96306,0.65916,2.557,0.94348,3.65906,0.000363239,0.000363239,0.000363239
160,4070.89,0.81169,0.37145,1.76732,0.9612,0.93705,0.9628,0.65714,2.55966,0.95012,3.662,0.000354988,0.000354988,0.000354988
161,4096.32,0.80593,0.37124,1.77397,0.9764,0.92083,0.96511,0.6575,2.60277,0.92452,3.73504,0.000346736,0.000346736,0.000346736
162,4121.78,0.79693,0.36274,1.7686,0.97338,0.92881,0.96307,0.65738,2.56329,0.94984,3.61742,0.000338484,0.000338484,0.000338484
163,4147.22,0.79368,0.36131,1.7685,0.97668,0.92152,0.96436,0.65766,2.54406,0.97457,3.60686,0.000330233,0.000330233,0.000330233
164,4172.68,0.79865,0.36231,1.77206,0.96082,0.93618,0.96391,0.66195,2.50261,0.94447,3.55432,0.000321981,0.000321981,0.000321981
165,4198.12,0.78476,0.35466,1.75951,0.9672,0.92837,0.96395,0.66032,2.5347,0.95476,3.60675,0.000313729,0.000313729,0.000313729
166,4223.4,0.78237,0.35421,1.7684,0.97631,0.91794,0.96266,0.66078,2.51624,0.94971,3.61463,0.000305478,0.000305478,0.000305478
167,4248.64,0.77431,0.3542,1.76373,0.9827,0.9222,0.96609,0.66717,2.53104,0.91288,3.58012,0.000297226,0.000297226,0.000297226
168,4273.87,0.77196,0.35659,1.75931,0.97302,0.9222,0.96267,0.66757,2.51614,0.94192,3.67693,0.000288974,0.000288974,0.000288974
169,4299.29,0.75169,0.34946,1.75094,0.96456,0.93455,0.96627,0.66968,2.53482,0.94526,3.68038,0.000280723,0.000280723,0.000280723
170,4324.76,0.76827,0.35655,1.75106,0.97061,0.93424,0.96318,0.65848,2.54652,0.97734,3.65389,0.000272471,0.000272471,0.000272471
171,4350.05,0.76738,0.35397,1.74417,0.96106,0.93417,0.9632,0.6651,2.49619,0.94235,3.61244,0.00026422,0.00026422,0.00026422
172,4375.49,0.76058,0.34528,1.76035,0.97167,0.92734,0.96425,0.66115,2.52004,0.9358,3.62209,0.000255968,0.000255968,0.000255968
173,4400.96,0.73606,0.3368,1.73813,0.98131,0.92598,0.96296,0.66818,2.51073,0.94007,3.60654,0.000247716,0.000247716,0.000247716
174,4426.17,0.76329,0.3418,1.76124,0.96679,0.93259,0.9642,0.65876,2.52374,0.93889,3.65889,0.000239465,0.000239465,0.000239465
175,4451.51,0.75234,0.34219,1.74524,0.97751,0.91972,0.96384,0.66307,2.52678,0.95857,3.65445,0.000231213,0.000231213,0.000231213
176,4476.96,0.73975,0.34305,1.73701,0.98057,0.92152,0.96487,0.6676,2.54354,0.94746,3.68882,0.000222961,0.000222961,0.000222961
177,4502.32,0.72153,0.33483,1.7343,0.97448,0.92901,0.96474,0.66746,2.56981,0.94353,3.75816,0.00021471,0.00021471,0.00021471
178,4527.57,0.73168,0.34215,1.74638,0.98382,0.91091,0.96374,0.66501,2.54239,0.95107,3.7094,0.000206458,0.000206458,0.000206458
179,4552.96,0.71309,0.33759,1.73339,0.97517,0.92528,0.96647,0.65926,2.52781,0.92069,3.6854,0.000198206,0.000198206,0.000198206
180,4578.23,0.71219,0.33707,1.73388,0.97131,0.92776,0.9644,0.65851,2.54007,0.9287,3.70536,0.000189955,0.000189955,0.000189955
181,4603.45,0.71083,0.32882,1.74342,0.97015,0.93112,0.96558,0.65887,2.53797,0.93979,3.7477,0.000181703,0.000181703,0.000181703
182,4628.85,0.71309,0.32855,1.73905,0.96961,0.93076,0.9647,0.66764,2.53128,0.93139,3.74485,0.000173451,0.000173451,0.000173451
183,4654.29,0.69227,0.3248,1.72737,0.97695,0.92393,0.96607,0.66606,2.5348,0.96346,3.74156,0.0001652,0.0001652,0.0001652
184,4679.73,0.68882,0.3238,1.73253,0.9712,0.92778,0.96592,0.6651,2.5268,0.95733,3.75032,0.000156948,0.000156948,0.000156948
